text,label
View your payment history at: https://mobikwik.com,0
You’ve won a lucky draw! Redeem now: http://upi-cashbonus.in,1
Click to activate your KYC bonus: http://kycbonus.live,1
Your account will be suspended. Verify at: http://kycbonus.live,1
View your payment history at: https://amazon.in/pay,0
Payment failed. Retry securely here: http://freegift-now.in,1
Claim your cashback now: http://refund-alerts.co,1
Explore banking features at: https://hdfcbank.com,0
Recharge your phone here: https://sbi.co.in,0
Action required: Resolve your payment issue at: http://payupi-balance.xyz,1
Action required: Resolve your payment issue at: http://freegift-now.in,1
Action required: Resolve your payment issue at: http://click-here-win.in,1
Click to update your UPI details: http://upi-update-request.net,1
Click to update your UPI details: http://upi-cashbonus.in,1
Order confirmed. Track your order here: https://upi.npci.org.in,0
You’ve won a lucky draw! Redeem now: http://kycbonus.live,1
You’ve won a lucky draw! Redeem now: http://payupi-balance.xyz,1
Click to activate your KYC bonus: http://payupi-balance.xyz,1
Recharge your phone here: https://paytm.com,0
Access your UPI dashboard: https://google.com/pay,0
Transfer money securely at: https://sbi.co.in,0
Click to activate your KYC bonus: http://click-here-win.in,1
Claim your cashback now: http://kycbonus.live,1
Your account will be suspended. Verify at: http://refund-alerts.co,1
Your account will be suspended. Verify at: http://click-here-win.in,1
Transfer money securely at: https://amazon.in/pay,0
Your account will be suspended. Verify at: http://refund-alerts.co,1
Limited time offer! Secure your reward at: http://kycbonus.live,1
You’ve won a lucky draw! Redeem now: http://refund-alerts.co,1
Update your profile via: https://icicibank.com,0
Click to activate your KYC bonus: http://click-here-win.in,1
Explore banking features at: https://paytm.com,0
Click to activate your KYC bonus: http://payupi-balance.xyz,1
Confirm your refund by visiting: http://upi-cashbonus.in,1
Pay with UPI at: https://phonepe.com,0
Payment failed. Retry securely here: http://payupi-balance.xyz,1
Click to activate your KYC bonus: http://kycbonus.live,1
Update your profile via: https://paytm.com,0
View your payment history at: https://mobikwik.com,0
Explore banking features at: https://phonepe.com,0
Transfer money securely at: https://google.com/pay,0
Click to update your UPI details: http://payupi-balance.xyz,1
View your payment history at: https://hdfcbank.com,0
Click to activate your KYC bonus: http://payupi-balance.xyz,1
Action required: Resolve your payment issue at: http://freegift-now.in,1
Explore banking features at: https://icicibank.com,0
Access your UPI dashboard: https://mobikwik.com,0
Click to update your UPI details: http://freegift-now.in,1
View your payment history at: https://mobikwik.com,0
Claim your cashback now: http://securepay-verify.link,1
Pay with UPI at: https://paytm.com,0
Confirm your refund by visiting: http://refund-alerts.co,1
Get ₹499 instantly in your UPI wallet: http://securepay-verify.link,1
Your account will be suspended. Verify at: http://payupi-balance.xyz,1
Confirm your refund by visiting: http://payupi-balance.xyz,1
Limited time offer! Secure your reward at: http://kycbonus.live,1
Click to activate your KYC bonus: http://freegift-now.in,1
Click to activate your KYC bonus: http://upi-update-request.net,1
Order confirmed. Track your order here: https://google.com/pay,0
Pay your electricity bill using: https://sbi.co.in,0
Your account will be suspended. Verify at: http://freegift-now.in,1
Get ₹1499 instantly in your UPI wallet: http://refund-alerts.co,1
Pay with UPI at: https://upi.npci.org.in,0
Explore banking features at: https://hdfcbank.com,0
Update your profile via: https://axisbank.com,0
Get ₹199 instantly in your UPI wallet: http://payupi-balance.xyz,1
Pay with UPI at: https://google.com/pay,0
Transfer money securely at: https://upi.npci.org.in,0
Access your UPI dashboard: https://icicibank.com,0
Payment failed. Retry securely here: http://click-here-win.in,1
Recharge your phone here: https://icicibank.com,0
Explore banking features at: https://sbi.co.in,0
Explore banking features at: https://mobikwik.com,0
Click to activate your KYC bonus: http://freegift-now.in,1
View your payment history at: https://google.com/pay,0
Click to update your UPI details: http://upi-update-request.net,1
Download your bank statement: https://mobikwik.com,0
View your payment history at: https://sbi.co.in,0
View your payment history at: https://sbi.co.in,0
View your payment history at: https://phonepe.com,0
Access your UPI dashboard: https://hdfcbank.com,0
Explore banking features at: https://mobikwik.com,0
Pay your electricity bill using: https://amazon.in/pay,0
Action required: Resolve your payment issue at: http://securepay-verify.link,1
Update your profile via: https://google.com/pay,0
Download your bank statement: https://icicibank.com,0
You’ve won a lucky draw! Redeem now: http://refund-alerts.co,1
View your payment history at: https://paytm.com,0
